scientificName,Article,Article_secondary_same_data,Study_type,Fishy_Study_Type,Sample_size_nests_monitored,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_data,Experiment_control_site_or_spatial_variation,Experiment_sample_size,Experiment_confounding_variables_included,Experiment_sites_randomly_selected_REMOVE,Experiment_BACI,Study_location,Latitude,Longitude,Study_notes,Study_rodent,orig_study_ID
Diomedea dabbenena,"Oppel, S., Clark, B.L., Risi, M.M., Horswill, C., Converse, S.J., Jones, C.W., Osborne, A.M., Stevens, K., Perold, V., Bond, A.L. and Wanless, R.M., 2022. Cryptic population decrease due to invasive species predation in a long‐lived seabird supports need for eradication. Journal of Applied Ecology, 59(8), pp.2059-2070.","",Temporal,,"",0,"",1,"",1,0,"",0,Gough Island,-40.3186,-9.9353,"""""The adult breeding population remained stable between 2004 and 2021"""" """"Mice have ... affected breeding success of seabirds since at least 2000 when the low breeding success was first noticed… Mice have recently been observed attacking adult albatrosses""""",Mus musculus,144
Diomedea dabbenena,"Oppel, S., Clark, B.L., Risi, M.M., Horswill, C., Converse, S.J., Jones, C.W., Osborne, A.M., Stevens, K., Perold, V., Bond, A.L. and Wanless, R.M., 2022. Cryptic population decrease due to invasive species predation in a long‐lived seabird supports need for eradication. Journal of Applied Ecology, 59(8), pp.2059-2070.","",Timing,,"",0,"",0,"","",,"","",Gough Island,-40.3186,-9.9353,"""""Mice have been present on Gough since the 19th century""""",Mus musculus,145
Diomedea dabbenena,"Davies, D., Dilley, B.J., Bond, A.L., Cuthbert, R.J. and Ryan, P.G., 2015. Trends and tactics of mouse predation on Tristan albatross Diomedea dabbenena chicks at Gough Island, South Atlantic Ocean. Avian Conservation & Ecology, 10(1).","",Predation,,20,1,70%,0,"","",,"","",Gough Island,-40.3186,-9.9353,"""""We closely monitored the fates of 20 chicks... Only 5 of 20 chicks survived to fledge, and of the 15 failures, 14 (93%) were due to mouse predation.""""",Mus musculus,146
Diomedea dabbenena,"Bond, A.L., Carlson, C.J. and Burgio, K.R., 2019. Local extinctions of insular avifauna on the most remote inhabited island in the world. Journal of Ornithology, 160(1), pp.49-60.","",Timing,,"",0,"",0,"","",,"","",Tristan da Cunha,-37.1052,-12.2777,"""""We estimate that all three species were likely extirpated from Tristan between 1869 and 1880 following a period of significant habitat alteration and human overexploitation, and only the albatross had a high probability of persistence when Black Rats (Rattus rattus) arrived in 1882, the previously assumed cause of extinction for all three species."""" """"The Tristan Albatross likely went extinct on the main island of Tristan by 1880, in part owing to human persecution""""",Rattus rattus,147
Pterodroma atrata,"Oppel, S., Lavers, J.L., Donaldson, A.H., Forrest, A.K., McClelland, G.T., Bond, A.L. and Brooke, M.D.L., 2017. Population status, breeding success and ecology of the Henderson Petrel after a failed rat eradication on Henderson Island. Emu-Austral Ornithology, 117(2), pp.151-159.","",Predation,,25,1,12%,0,"","",,"","",Henderson Island,-24.3744,-128.3271,"""""We also estimated the nest survival of 25 nests to be 28.5%, and most nest failures occurred within 7 days of hatching when chicks were killed by rats (n = 3) or a crab (n = 1).""""",Rattus exulans,148
Pterodroma atrata,"Oppel, S., Lavers, J.L., Donaldson, A.H., Forrest, A.K., McClelland, G.T., Bond, A.L. and Brooke, M.D.L., 2017. Population status, breeding success and ecology of the Henderson Petrel after a failed rat eradication on Henderson Island. Emu-Austral Ornithology, 117(2), pp.151-159.","",Timing,,"",0,"",0,"","",,"","",Henderson Island,-24.3744,-128.3271,"""""The higher nest survival in 2015, which is similar to nest survival estimates of other gadfly petrel populations persisting with Pacific rats (Rayner et al. 2007; Jones et al. 2015)...based on rat trapping in 2013 and 2015 which indicated that rat abundance had recovered to pre-eradication levels""""",Rattus exulans,149
Synthliboramphus hypoleucus,"Jones, H.P., Williamhenry Iii, R., Howald, G.R., Tershy, B.R. and Croll, D.A., 2005. Predation of artificial Xantus's murrelet (Synthliboramphus hypoleucus scrippsi) nests before and after black rat (Rattus rattus) eradication. Environmental Conservation, 32(4), pp.320-325.","",Spatiotemporal,,"",1,"",1,1,3,0,1,0,Anacapa Island,34.0044,-119.3996,"""""Predation on artificial nests was measured during spring 2002 and 2003, coinciding with a successful rat eradication effort on the three islets of Anacapa Island (Howald et al. 2005). We took advantage of the staged eradication... In 2002, 132 artificial nests (n = 62, 39 and 31 for East, Middle and West Anacapa Islets, respectively) were deployed for 23 days. In 2003, 102 artificial nests (n = 43, 40 and 19 for East, Middle and West Anacapa Islets, respectively) were deployed for 35 days...In 2002, nest predation was considerably higher at the un- treated islets (Middle/West Anacapa Islets; 96%) than at our treated site (East Anacapa Islet; 8%) (Fig. 2).""""",Rattus rattus,150
Pterodroma incerta,"Cuthbert, R., Sommer, E., Ryan, P., Cooper, J. and Hilton, G., 2004. Demography and conservation of the Tristan albatross Diomedea [exulans] dabbenena. Biological Conservation, 117(5), pp.471-481.","Cuthbert, R. and Hilton, G., 2004. Introduced house mice Mus musculus: a significant predator of threatened and endemic birds on Gough Island, South Atlantic Ocean?. Biological conservation, 117(5), pp.483-489.",Predation,,"",1,"",0,"","",,"","",Gough Island,-40.3186,-9.9353,"""""Wounds found on two live chicks and injuries found on Atlantic Pterodroma incerta petrel chicks strongly suggest that feral house mice Mus musculus are the most likely predator of Tristan albatross chicks (Cuthbert and Hilton, in press).""""",Mus musculus,151
Pterodroma incerta,"Wanless, R.M., Angel, A., Cuthbert, R.J., Hilton, G.M. and Ryan, P.G., 2007. Can predation by invasive mice drive seabird extinctions?. Biology letters, 3(3), pp.241-244.","",Predation,,60,1,66%,0,"","",,"","",Gough Island,-40.3186,-9.9353,"""""Mouse-induced mortality in 2004 was a significant cause of extremely poor breeding success for Tristan albatrosses, Diomedea dabbenena (0.27 fledglings/pair), and Atlantic petrels, Pterodroma incerta (0.33).""""",Mus musculus,152
Pterodroma incerta,"Wanless, R.M., Ratcliffe, N., Angel, A., Bowie, B.C., Cita, K., Hilton, G.M., Kritzinger, P., Ryan, P.G. and Slabber, M., 2012. Predation of Atlantic Petrel chicks by house mice on Gough Island. Animal Conservation, 15(5), pp.472-479.","",Predation,,13,1,46%,0,"","",,"","",Gough Island,-40.3186,-9.9353,"""""From October 2003 to September 2004, we video-recorded attacks by mice on six (of 13) live, healthy Atlantic Petrel chicks""""",Mus musculus,153
Pterodroma incerta,"Dilley, B.J., Davies, D., Bond, A.L. and Ryan, P.G., 2015. Effects of mouse predation on burrowing petrel chicks at Gough Island. Antarctic Science, 27(6), pp.543-553.","",Predation,,7,1,100%,0,"","",,"","",Gough Island,-40.3186,-9.9353,"""""All seven camera-monitored Atlantic petrel (Pterodroma incerta Schlegel) chicks were killed by mice within hours of hatching (average 7.2 ± 4.0 hours) with an 87% chick failure rate (n = 83 hatchlings)""""",Mus musculus,154
Puffinus newelli,"Raine, A.F., Driskill, S., Vynne, M., Harvey, D. and Pias, K., 2020. Managing the effects of introduced predators on Hawaiian endangered seabirds. The Journal of Wildlife Management, 84(3), pp.425-435.","",Predation,,"",1,"",0,"","",,"","",Kauai,22.0964,-159.5261,"""""We confirmed 309 endangered sea- birds as killed by introduced predators over the 7‐year study period, consisting of 57 Newell's shearwaters, 208 Hawaiian petrels, and 44 unidentified procellariids. Of the 309 dep- redations, 110 (35.6%) were by cats, 155 (50.2%) by black rats, 32 by pigs (10.4%), and 12 (3.9%) by barn owl."""" / """"Figure 2. Age classes of Newell's shearwater and Hawaiian petrel (both species combined) targeted by different introduced predators""""",Rattus,155
Puffinus newelli,"Raine, A.F., Driskill, S., Vynne, M., Harvey, D. and Pias, K., 2020. Managing the effects of introduced predators on Hawaiian endangered seabirds. The Journal of Wildlife Management, 84(3), pp.425-435.","",Lethal control (temporal),,"",1,"",1,0,1,0,0,0,Kauai,22.0964,-159.5261,"""""To consider the overall effectiveness of predator control, we compared the percentage change in reproductive success rate at monitored burrows at each site in the first year of monitoring (yr zero) with the most recent year when predator control operations were most refined (yr 2017). Reproductive success rate increased at all sites by a mean of 48.5% (range = 22.5–100.0%) for Hawaiian petrel and 35.8% (28.8% and 42.9%, respectively, for the 2 sites with monitored burrows of this species) for Newell's shearwater....The percentage of burrows depredated in 2017 was significantly lower than in year zero for cats (percent change; −68.1%, χ12 = 5.03, P = 0.025), black rats (percent change; −86.2%, χ12 = 23.21, P ≤ 0.001), and pigs (percent change; −100.0%, χ12 = 15.09, P ≤ 0.001; Fig. 3)""""",Rattus,156
Ardenna grisea,"Miskelly, C.M., Bishop, C.R., Greene, T.C., Rickett, J.E.N.N.Y., Taylor, G.A. and Tennyson, A.J., 2020. Breeding petrels of Breaksea and Dusky Sounds, Fiordland; responses to three decades of predator control. Notornis, 67, pp.543-557.","",Timing,,"",1,"",0,"","",,"","",Hāwea Island,-45.5913,166.6441,"""""Rat eradication is also expected to lead to increased colony size (and reduced clustering) of remnant petrel colonies that survived the presence of rats (Jones 2010; Buxton et al. 2016). This was most apparent on Hāwea Island, where the 40–100 sooty shearwater burrows estimated in April 1986 (G. Taylor pers. obs.) had increased more than 50-fold to an estimated 5,400 burrows in 2019. Population modelling indicates that this large increase over the 33 years since rat eradication could potentially have occurred with minimal immigration, provided productivity and survival rates were close to the maximum recorded for petrel populations in the absence of predation (c. 50% of eggs producing breeding adults recruiting to their natal population, with 90% of pairs persisting between years; authors’ unpubl. data).""""",Rattus norvegicus,157
Pelecanoides whenuahouensis,"Holdaway, R.N., Jones, M.D. and Athfield, N.R.B., 2003. Establishment and extinction of a population of South Georgian diving petrel (Pelecanoides georgicus) at Mason Bay, Stewart Island, New Zealand, during the late Holocene. Journal of the Royal society of New Zealand, 33(3), pp.601-622.","",Timing,,"",1,"",0,"","",,"","",Stewart Island,-47.0103,167.8272,"""""...statistical analysis… gave a 95% probability that the diving petrel colony was founded between 1338 and 1440 ad, lasted 40–310 years, and became extinct between 1475 and 1650 ad… analysis of five 14C AMS determinations on Pacific rat bone gelatin did not exclude the possibility that the Pacific rat arrived before the diving petrel colony was established. However, the enriched 513C of their bone gelatin suggests that the rats had a partially marine diet, and a terrestrial calibration procedure for their AMS ages was probably not appropriate""""",Rattus exulans,158
Pelecanoides whenuahouensis,"Fischer, J.H., Taylor, G.A., Cole, R., Debski, I., Armstrong, D.P. and Wittmer, H.U., 2020. Population growth estimates of a threatened seabird indicate necessity for additional management following invasive predator eradications. Animal Conservation, 23(1), pp.94-103.","",Timing,,"",0,"",0,"","",,"","",Codfish Island,-46.7733,167.6321,"""""Both estimates of Nt and k (based on pd,t data informed all 11 experts) indicated that the WHDP population was slowly increasing before invasive predator eradications and still is slowly increasing after- wards….The lack of change between the pre- and post-eradication k and the low post-eradication k indicated that after the inva- sive predator eradications other factors remained that limit the WHDP population growth and that additional manage- ment is required."""" But see Figure 4",Rattus exulans,159
Pomarea whitneyi,"Ghestemme, T., Matohi, A., Blanvillain, C., Portier, E. and O’BRIEN, M.A.R.K., 2019. Catastrophic decline and subsequent conservation management of the Critically Endangered Fatu Hiva Monarch Pomarea whitneyi in the Marquesas Islands (French Polynesia). Bird Conservation International, 29(4), pp.598-615.","",Lethal control (temporal),,"",0,"",1,0,1,0,0,0,Fatu Hiva,-10.4905,-138.6489,"Table 2 and Figure 1 show population decline while internsive rat (and cat) control continued - """"Rat control started in 2007 in the monarch territories and has been undertaken throughout the year since 2009"""" """"Our initial assumption that controlling rats would improve breeding success, as observed for Tahiti and Rarotonga Monarchs, proved to be correct. However, in contrast to studies on the latter species, the improvement in breeding success for Fatu Hiva Monarch has not resulted in population increase. """" """"Our initial assumption that controlling rats would improve breeding success, as observed for Tahiti and Rarotonga Monarchs, proved to be correct. However, in contrast to studies on the latter species, the improvement in breeding success for Fatu Hiva Monarch has not resulted in population increase. """"",Rattus rattus,160
Pomarea whitneyi,"Ghestemme, T., Matohi, A., Blanvillain, C., Portier, E. and O’BRIEN, M.A.R.K., 2019. Catastrophic decline and subsequent conservation management of the Critically Endangered Fatu Hiva Monarch Pomarea whitneyi in the Marquesas Islands (French Polynesia). Bird Conservation International, 29(4), pp.598-615.","",Lethal control (temporal),,"",1,"",1,0,1,0,0,0,Fatu Hiva,-10.4905,-138.6489,"Figure 4 - Number of 2 month old chicks increases over time with high intensity rat poisoning and cat killing + """"we made 16 observations of newly-discovered pairs prior to the establishment of rat control on these territories. These pairs showed no sign of active breeding (neither nest building, chick rearing nor fledgling observed). While this is a very small sample size, it suggests that, in absence of rat control, Fatu Hiva Monarch nesting success was low.""""",Rattus rattus,161
Pomarea whitneyi,"Ghestemme, T., Matohi, A., Blanvillain, C., Portier, E. and O’BRIEN, M.A.R.K., 2019. Catastrophic decline and subsequent conservation management of the Critically Endangered Fatu Hiva Monarch Pomarea whitneyi in the Marquesas Islands (French Polynesia). Bird Conservation International, 29(4), pp.598-615.","",Predation,,64,1,1.56%,0,"","",,"","",Fatu Hiva,-10.4905,-138.6489,"""""Rat predation is considered responsible for one chick death."""" + Table 4",Rattus rattus,162
Pomarea whitneyi,"Thibault, J.C., Martin, J.L., Penloup, A. and Meyer, J.Y., 2002. Understanding the decline and extinction of monarchs (Aves) in Polynesian Islands. Biological Conservation, 108(2), pp.161-174.","",Timing,,"",1,"",0,"","",,"","",Fatu Hiva,-10.4905,-138.6489,"(inconclusive) """"On Fatuiva the proportion of pairs with young decreased significantly after the colonization of the island by rats: none of the 20 pairs observed in the latter period had young."""" This is based on Table 4 - in 1975 3 of 8 pairs had young, in 1998-2000 0 of 20 had young. Rats arrived in 2000. Unclear why 1998-1999 data is included here since rats are only known from 2000.",Rattus rattus,163
Pomarea whitneyi,BirdLife International. 2019. Pomarea whitneyi (amended version of 2018 assessment). The IUCN Red List of Threatened Species 2019: e.T22707192A155462058. https://dx.doi.org/10.2305/IUCN.UK.2019-3.RLTS.T22707192A155462058.en. Accessed on 11 January 2024.,"",Timing,,"",0,"",0,"","",,"","",Fatu Hiva,-10.4905,-138.6489,"The species was listed Threatened ion 1988, and Vulnerable in 1994 and 1996. Black rats were recorded in 2000.",Rattus rattus,164
Ardenna carneipes,"Gaze, P., 2000. The response of a colony of sooty shearwater (Puffinus griseus) and flesh‐footed shearwater (P. carneipes) to the cessation of harvesting and the eradication of Norway rats (Rattus norvegicus). New Zealand Journal of Zoology, 27(4), pp.375-379.","",Timing,,"",0,"",0,"","",,"","",Titi Island,-41.3912,174.5222,"""""The apparent decline of this breeding colony prompted the cessation of harvesting in 1960 and the eradication of Norway rats during the 1970s. An increase in the colony was expected, and there have been attempts to measure this by counting the number of active burrows...from 1987 to 1998. No change was detected over this period."""" """"The number of active shearwater burrows in each plot were counted (Table 1). Regression analysis indicated no significant trend in the number of active burrows over this period (R = 0.28, F = 2.33, DF =l,P=0.17).""""",Rattus norvegicus,165
Ardenna carneipes,"Barbraud, C., Delord, K., Le Bouard, F., Harivel, R., Demay, J., Chaigne, A. and Micol, T., 2021. Seabird population changes following mammal eradication at oceanic Saint-Paul Island, Indian Ocean. Journal for Nature Conservation, 63, p.126049.","",Timing,,"",1,"",0,"","",,"","",Saint-Paul Island,57.1208,-170.283,"Table 2 - """"λ is the annual population growth rate estimated from Ninit and N2018"""" Flesh-footed shearwater/ Burrows / 629 (1985) / 2002 (1733-2271) λ=1.04""""",Rattus rattus,166
Callaeas cinereus,"Flux, I., Bradfield, P. and Innes, J., 2006. Breeding biology of North Island kokako (Callaeas cinerea wilsoni) at Mapara wildlife management reserve, King Country, New Zealand. Notornis, 53(2), p.199.","",Predation,,"",1,"",0,"","",,"","",Mapara,-38.7425,175.6286,"Only abstract located online """"Predation of eggs and chicks by ship rats (Rattus rattus) and brush-tailed possums (Trichosurus vulpecula) was the main cause of nest failure, whereas deaths of nesting adult females mostly caused be stoats (Mustela erminea).""""",Rattus rattus,167
Rhynochetos jubatus,"Ekstrom, J.M., Jones, J.P., Willis, J., Tobias, J., Dutson, G. and Barre, N., 2002. New information on the distribution, status and conservation of terrestrial bird species in Grande Terre, New Caledonia. Emu, 102(2), pp.197-207.","",Predation,,Unknown,1,55%,0,"","",,"","",Riviere Bleue Park,-22.1397,166.7175,Mentioned as unpublished data,Rattus,168
Rhynochetos jubatus,"Gula, R., Theuerkauf, J., Rouys, S. and Legault, A., 2010. An audio/video surveillance system for wildlife. European Journal of Wildlife Research, 56, pp.803-807.","",Predation,,24,0,0,0,"","",,"","",New Caledonia,-20.9043,165.618,Table 1 - zero predations recorded,Rattus rattus,169
Petroica multicolor,"Nance, A.H., Mitchell, W.F., Dawlings, F., Cook, C.N. and Clarke, R.H., 2023. Rodent predation and specialised avian habitat requirements drive extinction risk for endemic island songbirds in the south-west Pacific. Emu-Austral Ornithology, 123(3), pp.217-231.","",Predation,,42,1,39%,0,"","",,"","",Norfolk Island,-29.0408,167.9547,"""""We found evidence of invasive rats preying on eggs and chicks of all five focal nesting species at nest heights ranging from 1.3 to 8.3 m above the ground."""" + Table S4",Rattus,170
Petroica multicolor,"Nance, A.H., Mitchell, W.F., Dawlings, F., Cook, C.N. and Clarke, R.H., 2023. Rodent predation and specialised avian habitat requirements drive extinction risk for endemic island songbirds in the south-west Pacific. Emu-Austral Ornithology, 123(3), pp.217-231.","",Lethal control (spatial),,"",1,"",1,1,42,1,1,0,Norfolk Island,-29.0408,167.9547,"""""Bait station density was also positively correlated with DSR in all candidate models, indicating nest survival was higher in areas with more intensive baiting, although effect sizes were small (best model: z = 1.95, p = 0.05; Figure 2(b))"""" - Daily nest survival rate (DSR) - """"That rodents present as a key threatening process is further supported by mea- sures of nest vulnerability to rodents (i.e. in areas of lower bait density and higher nest connectivity) which were key predictors of daily nest survival.""""",Rattus,171
Acrocephalus caffer,"Thibault, J.C., Martin, J.L., Penloup, A. and Meyer, J.Y., 2002. Understanding the decline and extinction of monarchs (Aves) in Polynesian Islands. Biological conservation, 108(2), pp.161-174.","",Timing,,"",0,"",1,1,11,1,1,0,Eastern Polynesia,-10.4905,-138.6489,"""""There was no significant effect in the GLM analysis of any of the introduced species on the distribution and abundance of Polynesian warblers."""" Sample size assumes the bird is found on all the studied islands","Rattus rattus, Rattus exulans",172
Pomarea nigra,"Thibault, J.C., Martin, J.L., Penloup, A. and Meyer, J.Y., 2002. Understanding the decline and extinction of monarchs (Aves) in Polynesian Islands. Biological conservation, 108(2), pp.161-174.","",Timing,,"",0,"",0,"","",,"","",Tahiti,-17.6509,-149.426,"Table 2, Tahiti monarch co-occurred with black rats since the 19th century",Rattus rattus,173
Pomarea nigra,"Blanvillain, C., Salducci, J.M., Tutururai, G. and Maeura, M., 2003. Impact of introduced birds on the recovery of the Tahiti Flycatcher (Pomarea nigra), a critically endangered forest bird of Tahiti. Biological conservation, 109(2), pp.197-205.","",Spatiotemporal,,"",1,"",1,?,4,0,?,?,Tahiti,-17.6509,-149.426,"""""Rat control campaigns involved two valleys in 1998, three in 1999, and four in 2000.""""... """"In 1999 and 2000, several transects of snap-traps were set before and 10 weeks after the start of the rat control campaign to establish the impact of the campaign on rodent density."""" """"According to the situation of each nest, the nesting tree and the surrounding trees were banded with a metal sleeve to prevent rats climbing to the nest. Except for a few nests in 1998 and nests which were not found, all nests were protected using this method."""" Study method unclear - there are """"protected"""" and """"unprotected"""" nests (Table 2) but all nests were banded to reduce rats climbing to nests (as quoted)",Rattus rattus,174
Procellaria cinerea,"Barbraud, C., Delord, K., Le Bouard, F., Harivel, R., Demay, J., Chaigne, A. and Micol, T., 2021. Seabird population changes following mammal eradication at oceanic Saint-Paul Island, Indian Ocean. Journal for Nature Conservation, 63, p.126049.","",Timing,,"",0,"",0,"","",,"","",Saint-Paul Island,57.1208,-170.283,Grey Petrel were present on the island before and after rat eradication (Table 3),Rattus rattus,175
Procellaria cinerea,"Dilley, B.J., Davies, D., Bond, A.L. and Ryan, P.G., 2015. Effects of mouse predation on burrowing petrel chicks at Gough Island. Antarctic Science, 27(6), pp.543-553.","",Predation,,"",1,"",0,"","",,"","",Gough Island,-40.3186,-9.9353,"""""Several grey petrel (Procellaria cinerea Gmelin) chicks were found with mouse wounds and 60% of chicks failed (n = 35 hatchlings).""""",Mus musculus,176
Procellaria cinerea,"Dilley, B.J., Schoombie, S., Stevens, K., Davies, D., Perold, V., Osborne, A., Schoombie, J., Brink, C.W., Carpenter-Kling, T. and Ryan, P.G., 2018. Mouse predation affects breeding success of burrow-nesting petrels at sub-Antarctic Marion Island. Antarctic Science, 30(2), pp.93-104.","",Predation,,18,1,17%,0,"","",,"","",Marion Island,-46.9125,37.743611,"""""We assessed the extent of mouse predation by monitoring the inside of 55 burrow chambers with video surveillance cameras (4024 film days from 2012–16) and recorded fatal attacks on grey (3/18 nests filmed, 17%) and great-winged petrel chicks (1/19, 5%).""""",Mus musculus,177
Zosterops modestus,BirdLife International. 2021. Zosterops modestus. The IUCN Red List of Threatened Species 2021: e.T22714018A177958015. Accessed on 19 January 2024.,"",Timing,,"",0,"",0,"","",,"","",Seychelles,-4.6796,55.492,"Defined """"Threatened"""" in 1988 and Critically Endangered 1994-2004, Endangered 2005-2015, Vulnerable since 2016. Black rats estbalished in 2015-2017",Rattus rattus,178
Zosterops modestus,BirdLife International. 2021. Zosterops modestus. The IUCN Red List of Threatened Species 2021: e.T22714018A177958015. Accessed on 19 January 2024.,"",Temporal,,"",1,"",1,"",1,0,"",0,"Conception, Seychelles",-4.6643,55.3655,"""""The population on Conception was estimated at c.275 (244-336) individuals in 1999, c.230 (189-266) in 2006, c.340 in 2009 (Rocamora and Labiche 2009) and c.310 individuals in 2014 (G. Rocamora in litt. 2019). In 2017 it was discovered that Black Rats Rattus rattus had colonised the island, probably about two years before in view of the rat distribution and abundance observed during visits. Subsequently, the population of Seychelles White-eye on Conception was almost eliminated, estimated at 10 to 15 individuals in late 2018 (G. Rocamora in litt. 2019, IBC-UniSey unpubl.; A Skerret, pers. comm., 2020).""""",Rattus rattus,179
Zosterops modestus,BirdLife International. 2021. Zosterops modestus. The IUCN Red List of Threatened Species 2021: e.T22714018A177958015. Accessed on 19 January 2024.,"",Timing,,"",1,"",0,"","",,"","","Conception, Seychelles",-4.6643,55.3655,"""""Conception was previously inhabited by R. norvegicus but an eradication operation was conducted in August 2007 (G. Rocamora in litt. 2007)."""" Endangered status remained unchanged until 2016 but the number counted did increase until black rats arrived",Rattus norvegicus,180
Otus insularis,"Currie, D.; Fanchette, R.; Millett, J.; Hoareau, C.; Shah, N. J. 2004. The breeding biology of the critically endangered Seychelles Scops-owl Otus insularis: consequences for conservation and management. Bird Conservation International 14: 123-137.","",Predation,,8,1,25%,0,"","",,"","","Mahé, Seychelles",-4.6827,55.4804,"""""The nesting success of study pairs was low. Of the eight nests found only two successfully fledged a chick. At least two nests, and probably a third, failed due to de-predation by a mammal, almost certainly Black Rat Rattus rattus.""""",Rattus rattus,181
Zenaida graysoni,BirdLife International. 2020. Zenaida graysoni. The IUCN Red List of Threatened Species 2020: e.T22690740A178409463. https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22690740A178409463.en. Accessed on 20 January 2024.,"",Predation,,"",1,"",0,"","",,"","",Revillagigedo Islands,18.798,-110.9754,"""""mice remain an issue on the island and must be removed due to their predation of dove chicks (J. Lowen in litt. 2020)""""",Mus musculus,182
Larus heermanni,"Bowen, T., Velarde, E., Anderson, D.W. and Marlett, S.A., 2015. Federico Craveri and changes in nesting seabirds on Isla Rasa, Gulf of California, since 1856. The Southwestern Naturalist, pp.1-5.","",Timing,,"",1,"",0,"","",,"","",Isla Rasa,28.8236,-112.98,"""""Egg collecting gradually decreased after 1964 when Isla Rasa was made a Nature Reserve and Migratory Bird Refuge (Ezcurra et al., 2002), but black rats (Rattus rattus) and house mice (Mus musculus), probably introduced during the guano mining era, continued to impact the breeding success of seabirds on the island. Since the eradication of these two rodents in 1995, the breeding success of Heermann’s gulls in rocky areas, where rodents had their greatest impact, has doubled, and the elegant tern nesting population has more than tripled (E. Velarde, pers. observ.).""""","Rattus rattus, Mus musculus",183
Synthliboramphus scrippsi,"Newton, K.M., McKown, M., Wolf, C., Gellerman, H., Coonan, T., Richards, D., Harvey, A.L., Holmes, N., Howald, G., Faulkner, K. and Tershy, B.R., 2016. Response of native species 10 years after rat eradication on Anacapa Island, California. Journal of Fish and Wildlife Management, 7(1), pp.72-85.","",Spatiotemporal,,"",1,"",1,1,1,0,1,1,Anacapa and Santa Barbara Islands,34.0044,-119.3996,"""""We found a significant difference between pre- and post-eradication time periods for two of the three variables examined: proportion of eggs hatched clutch-1 (t-test, t(3,1) = -3.2547, p = 0.0237) and rodent depredation rates on eggs (t(3,1) = 3.4301, p = 0.0208). While there was no significant difference in percent occupancy, 191% more Scripp’s murrelet eggs were hatching and 94% fewer nests were depredated on Anacapa Island post-eradication (Figure 2). These results indicate that, compared to the control island, there was a significant effect of the rat eradication on Scripps’s murrelet breeding.""""",Rattus rattus,184
Synthliboramphus scrippsi,"Whitworth, D.L., Carter, H.R. and Gress, F., 2013. Recovery of a threatened seabird after eradication of an introduced predator: Eight years of progress for Scripps’s murrelet at Anacapa Island, California. Biological Conservation, 162, pp.52-59.","Newton, K.M., McKown, M., Wolf, C., Gellerman, H., Coonan, T., Richards, D., Harvey, A.L., Holmes, N., Howald, G., Faulkner, K. and Tershy, B.R., 2016. Response of native species 10 years after rat eradication on Anacapa Island, California. Journal of Fish and Wildlife Management, 7(1), pp.72-85.; Whitworth, D.L., Carter, H.R., Young, R.J., Koepke, J.S., Gress, F. and Fangman, S., 2005. Initial recovery of Xantus's Murrelets following rat eradication on Anacapa Island, California. Marine Ornithology, 33, pp.131-137.; Whitworth, D.L. and Carter, H.R., 2018. Population trends for Scripps's Murrelet following eradication of black rats. The Journal of Wildlife Management, 82(1), pp.232-237.",Temporal,,"",1,"",1,"",1,0,"",0,Anacapa Island,34.0044,-119.3996,"""""Baseline (2001–2002) and post-eradi- cation (2003–2010) monitoring in ten sea caves recorded a nearly 3-fold increase in hatching success (30% versus 85%), due mainly to a drastic reduction in egg predation."""" """"Differences in the frequencies of nest fates were observed in the post- and pre-eradication periods (G = 20.06, df = 2, P < 0.001). Overall hatching success was 64%, but was much higher (Gc = 9.65, df = 1, P < 0.005) post-eradication (80%) than pre-eradication (42%). Post-eradication hatching success was consistently high (73%–83%; Table 1, Fig. 2); pre-eradication, it was quite variable (18%–78%). Note: rat eradication completed 2002, and pre-eradication data starts 2000/2001.",Rattus rattus,185
Synthliboramphus scrippsi,"Whitworth, D.L., Carter, H.R. and Gress, F., 2013. Recovery of a threatened seabird after eradication of an introduced predator: Eight years of progress for Scripps’s murrelet at Anacapa Island, California. Biological Conservation, 162, pp.52-59.","Whitworth, D.L., Carter, H.R., Young, R.J., Koepke, J.S., Gress, F. and Fangman, S., 2005. Initial recovery of Xantus's Murrelets following rat eradication on Anacapa Island, California. Marine Ornithology, 33, pp.131-137.; Whitworth, D.L., Carter, H.R., Parker, M.W., Gress, F. and Booker, M., 2018. Long-term monitoring of Scripps's Murrelet and Guadalupe Murrelet at San Clemente Island, California: evaluation of baseline data in 2012–2016. Western North American Naturalist, 78(3), pp.457-473.; Whitworth, D.L., Carter, H.R., Dvorak, T.M., Farley, L.S. and King, J.L., 2014. Status, distribution, and conservation of Scripps's murrelet at Santa Catalina Island, California. Monographs of the Western North American Naturalist, 7(1), pp.321-338.",Predation,,8,1,88%,0,"","",,"","",Anacapa Island,34.0044,-119.3996,"""""Despite the difficult access to sea caves, rat-depredated eggs were recorded in seven of eight murrelet occupied caves before eradication.""""",Rattus rattus,186
