Bird_scientific_name,redlistCategory,Migratory_status,Single_island_endemic,Evidence,Eradication_ID,Eradication_status,Island_Name,Archipelago,Region,Country,Longitude,Latitude,Rodent_attributed_final
Pterodroma pycrofti,Vulnerable,Full migrant,no,Population study with data in support,435,Failed,Coppermine,Hen and Chicken Islands,Pacific Ocean - South West,New Zealand,174.7721267,-35.8886159,Rattus exulans
Fregetta maoriana,Critically Endangered,Not a Migrant,no,No studies found,822,Successful,Double (Moturehu),Mercury Islands,Pacific Ocean - South West,New Zealand,175.9063272,-36.62541972,Rattus exulans
Nesofregetta fuliginosa,Endangered,Full migrant,no,No studies found,2434,Successful,Drum,Line Islands (Kiritimati),Pacific Ocean - North East,Kiribati,-157.3921183,1.838304651,Rattus exulans
Nesofregetta fuliginosa,Endangered,Full migrant,no,No studies found,2436,Successful (Reinvaded),East Drum,Line Islands (Kiritimati),Pacific Ocean - North East,Kiribati,-157.3881468,1.837206379,Rattus exulans
Fregetta maoriana,Critically Endangered,Not a Migrant,no,No studies found,468,Successful,Fanal,Mokohinau Islands,Pacific Ocean - South West,New Zealand,175.147196,-35.93996033,Rattus exulans
Pachycephala jacquinoti,Near Threatened,Not a Migrant,no,No studies found,2852,To Be Confirmed,Fangasito,Vava'u group (Otu Motu Lalo),Pacific Ocean - South East,Tonga,-174.0807198,-18.81904119,Rattus exulans
Pampusana stairi,Vulnerable,Not a Migrant,no,No studies found,2852,To Be Confirmed,Fangasito,Vava'u group (Otu Motu Lalo),Pacific Ocean - South East,Tonga,-174.0807198,-18.81904119,Rattus exulans
Pterodroma alba,Vulnerable,Full migrant,no,All studies are not in support,3148,Planned,Fatu Huku,Marquesas,Pacific Ocean - South East,French Polynesia,-138.9260018,-9.436772654,Rattus exulans
Fregetta maoriana,Critically Endangered,Not a Migrant,no,No studies found,885,Successful,Flax (Hokoromea),Mokohinau Islands,Pacific Ocean - South West,New Zealand,175.1039164,-35.91151522,Rattus exulans
Nesofregetta fuliginosa,Endangered,Full migrant,no,No studies found,2459,Failed,Frigatebird,Line Islands (Kiritimati),Pacific Ocean - North East,Kiribati,-157.3563251,1.821075062,Rattus exulans
Pterodroma pycrofti,Vulnerable,Full migrant,no,Population study with data in support,2909,Successful,Great Mercury,Mercury Islands,Pacific Ocean - South West,New Zealand,175.7957877,-36.61610385,Rattus exulans
Pterodroma atrata,Endangered,Full migrant,no,Only predation in support,1979,Failed,Henderson,Pitcairn Islands,Pacific Ocean - South East,Pitcairn,-128.3228943,-24.37681899,Rattus exulans
Nesofregetta fuliginosa,Endangered,Full migrant,no,No studies found,2450,Successful,Isles Lagoon 13,Line Islands (Kiritimati),Pacific Ocean - North East,Kiribati,-157.3667423,1.827210397,Rattus exulans
Nesofregetta fuliginosa,Endangered,Full migrant,no,No studies found,2451,Successful,Isles Lagoon 16,Line Islands (Kiritimati),Pacific Ocean - North East,Kiribati,-157.36939,1.829493798,Rattus exulans
Nesofregetta fuliginosa,Endangered,Full migrant,no,No studies found,2446,Successful,Isles Lagoon 2,Line Islands (Kiritimati),Pacific Ocean - North East,Kiribati,-157.3632883,1.840368301,Rattus exulans
Nesofregetta fuliginosa,Endangered,Full migrant,no,No studies found,2452,Successful,Isles Lagoon 21,Line Islands (Kiritimati),Pacific Ocean - North East,Kiribati,-157.3764015,1.827494669,Rattus exulans
Nesofregetta fuliginosa,Endangered,Full migrant,no,No studies found,2453,Successful,Isles Lagoon 22,Line Islands (Kiritimati),Pacific Ocean - North East,Kiribati,-157.3735991,1.825368703,Rattus exulans
Nesofregetta fuliginosa,Endangered,Full migrant,no,No studies found,2454,Successful,Isles Lagoon 23,Line Islands (Kiritimati),Pacific Ocean - North East,Kiribati,-157.3747339,1.822258047,Rattus exulans
