scientificName,Common_name,Original_rodent_attributed_IUCN,Rodent_attribution_source,Reported_study_rodent,Study_notes,Article_secondary_same_data,redlistCategory,Synonyms_or_previous_lump,Rodent_attributed_final,Study_rodent_final,Rodent_primary,Rodent_only_primary,Article,Study_ID,Evidence_category,Evidence_effect,Evidence_method,Predation_type,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_population_data,Experiment_control_site_or_spatial_variation,Sample_size_greater_than_1,Note_experiment_sample_size,Experiment_confounding_variables_included,Experiment_BACI,Study_location,Latitude,Longitude,Order,Mass,Bird_Type_Coarse,Nest_Site_Cat
Anthornis melanocephala,Chatham Islands Bellbird,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Extinct,"",Rattus rattus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,26.9066666666667,Landbirds,
Apalopteron familiare,Bonin White-eye,"Rattus rattus, Rattus norvegicus",Rodent attribution from IUCN.,,,,Near Threatened,Apalopteron familiare,Rattus norvegicus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,15,Landbirds,Vegetation
Apalopteron familiare,Bonin White-eye,"Rattus rattus, Rattus norvegicus",Rodent attribution from IUCN.,Rattus rattus,"Nest predation by introduced black rats may be a threat on Hahajima (Kawakami in litt. 2012), but rats do not currently seem to be affecting the population.","",Near Threatened,Apalopteron familiare,Rattus rattus,Rattus rattus,0,0,BirdLife International. 2016. Apalopteron familiare. The IUCN Red List of Threatened Species 2016: e.T22704125A93953867. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22704125A93953867.en. Accessed on 10 November 2023.,10,Predation,Predation,Predation,Unknown,1,,0,,,"",,,Hahajima,26.6735,142.1541,Passeriformes,15,Landbirds,Vegetation
Apalopteron familiare,Bonin White-eye,"Rattus rattus, Rattus norvegicus",Rodent attribution from IUCN.,Rattus rattus,"Nest predation by introduced black rats may be a threat on Hahajima (Kawakami in litt. 2012), but rats do not currently seem to be affecting the population.","",Near Threatened,Apalopteron familiare,Rattus rattus,Rattus rattus,0,0,BirdLife International. 2016. Apalopteron familiare. The IUCN Red List of Threatened Species 2016: e.T22704125A93953867. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22704125A93953867.en. Accessed on 10 November 2023.,11,Population,Abundance,Temporal,"",0,,0,,,"",,,Hahajima,26.6735,142.1541,Passeriformes,15,Landbirds,Vegetation
Aphrastura masafuerae,Masafuera Rayadito,"Rattus, Mus musculus",IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Critically Endangered,Aphrastura masafucrae,Mus musculus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,12.2,Landbirds,
Aphrastura masafuerae,Masafuera Rayadito,"Rattus, Mus musculus",IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Critically Endangered,Aphrastura masafucrae,Rattus norvegicus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,12.2,Landbirds,
Aphrastura masafuerae,Masafuera Rayadito,"Rattus, Mus musculus",IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Critically Endangered,Aphrastura masafucrae,Rattus rattus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,12.2,Landbirds,
Aplonis cinerascens,Rarotonga Starling,Rattus rattus,Rodent attribution from IUCN.,,,,Vulnerable,"",Rattus rattus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,82.9,Landbirds,Vegetation
Aplonis corvina,Kosrae Starling,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Extinct,"",Rattus exulans,,1,1,,,,,,,,,,,,,,,,,,Passeriformes,77.28828125,Landbirds,
Aplonis corvina,Kosrae Starling,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Extinct,"",Rattus rattus,,1,1,,,,,,,,,,,,,,,,,,Passeriformes,77.28828125,Landbirds,
